================================================================================
OFFLINE | phi-4-mini | 2026-05-04 11:29:38
model_name: microsoft/Phi-4-mini-instruct
parameters: ~3.8B
quantization: none
decoding: sampling (temperature=0.15)
max_new_tokens: 10
--------------------------------------------------------------------------------
Dataset,Questions,Correct,Accuracy %
data/math_questions.json,29,13,44.8%
  Q01 → answered 1 | WRONG → correct: 3 (3.2s)
  [AGENTIC OK  ] code ran → output: 'c = 2 makes the polynomial irreducible over Z_3' → option 3
  Q07 → answered 3 | WRONG → correct: 2 (12.7s)
  [AGENTIC FAIL] NO OUTPUT (code ran but nothing was printed) → text fallback
  Q08 → answered 0 | CORRECT (3.8s)
  [AGENTIC FAIL] NameError: name 'ln' is not defined → text fallback
  Q09 → answered 0 | CORRECT (11.5s)
  [AGENTIC FAIL] None → text fallback
  Q10 → answered 1 | CORRECT (8.7s)
  [STANDARD    ] no code generated → text parsing
  Q11 → answered 0 | CORRECT (13.7s)
  [AGENTIC OK  ] code ran → output: '405.2776825831889' → option 3
  Q12 → answered 3 | CORRECT (12.3s)
  [AGENTIC OK  ] code ran → output: '114.0 5.230678732248808' → option 0
  Q13 → answered 0 | CORRECT (5.3s)
  [AGENTIC FAIL] None → text fallback
  Q14 → answered 1 | CORRECT (6.9s)
  [AGENTIC OK  ] code ran → output: '9' → option 0
  Q15 → answered 0 | CORRECT (5.2s)
  [AGENTIC OK  ] code ran → output: 'Between 395.0 and 425.0 of the 500 households surveyed responded that they used grocery coupons.' → option 0
  Q16 → answered 0 | WRONG → correct: 1 (7.6s)
  [STANDARD    ] no code generated → text parsing
  Q17 → answered 3 | CORRECT (14.1s)
  [STANDARD    ] no code generated → text parsing
  Q18 → answered 2 | CORRECT (14.3s)
  [AGENTIC OK  ] code ran → output: 'x + 11' → option 3
  Q19 → answered 3 | CORRECT (5.3s)
  [AGENTIC FAIL] NO OUTPUT (code ran but nothing was printed) → text fallback
  Q20 → answered 0 | WRONG → correct: 2 (10.0s)
  [AGENTIC OK  ] code ran → output: '32/3' → option 0
  Q21 → answered 0 | WRONG → correct: 1 (11.1s)
  [AGENTIC OK  ] code ran → output: '0.42' → option 2
  Q22 → answered 2 | WRONG → correct: 3 (10.0s)
  [AGENTIC OK  ] code ran → output: '-10.0' → option 2
  Q23 → answered 2 | CORRECT (12.0s)
  [STANDARD    ] no code generated → text parsing
  Q24 → answered 2 | WRONG → correct: 0 (4.2s)
  [AGENTIC FAIL] NO OUTPUT (code ran but nothing was printed) → text fallback
  Q25 → answered 1 | CORRECT (5.4s)
  [AGENTIC FAIL] None → text fallback
  Q26 → answered 1 | WRONG → correct: 0 (6.6s)
  [AGENTIC FAIL] NO OUTPUT (code ran but nothing was printed) → text fallback
  Q27 → answered 0 | WRONG → correct: 1 (6.2s)
  [AGENTIC FAIL] NO OUTPUT (code ran but nothing was printed) → text fallback
  Q28 → answered 0 | WRONG → correct: 1 (3.0s)
  [AGENTIC FAIL] None → text fallback
  Q29 → answered 2 | WRONG → correct: 1 (10.7s)
================================================================================
